
          ---- Changes of mineral abundance (or/and exchanged species concentrations) vs. grid blocks at specified times ----

   Unit: 
               
    - Mineral: Changes of abundance in volume fraction      
 
VARIABLES =X,       Y,        Z,      T, Porosity,   Permeabi.,   exp(phi1),calcite    ,
ZONE T= "0.000000E+00 yr"  F=POINT
     58.000      0.000     0.000   4.000   0.30027  0.30000E-11  0.6188E+00 -0.2692E-03
     62.000      0.000     0.000   4.000   0.30025  0.30000E-11  0.4879E+00 -0.2494E-03
     66.000      0.000     0.000   4.000   0.30024  0.30000E-11  0.4289E+00 -0.2369E-03
ZONE T= "0.144003E+09 yr"  F=POINT
      3.000      0.000     0.000   4.000   0.30085  0.30000E-11  0.1916E+00 -0.8515E-03
      6.000      0.000     0.000   4.000   0.30037  0.30000E-11  0.2019E+00 -0.3690E-03
     10.000      0.000     0.000   4.000   0.30028  0.30000E-11  0.2122E+00 -0.2812E-03
     14.000      0.000     0.000   4.000   0.30027  0.30000E-11  0.2336E+00 -0.2727E-03
     18.000      0.000     0.000   4.000   0.30027  0.30000E-11  0.2585E+00 -0.2748E-03
     22.000      0.000     0.000   4.000   0.30028  0.30000E-11  0.2857E+00 -0.2777E-03
     26.000      0.000     0.000   4.000   0.30028  0.30000E-11  0.3165E+00 -0.2811E-03
     30.000      0.000     0.000   4.000   0.30029  0.30000E-11  0.3574E+00 -0.2855E-03
     34.000      0.000     0.000   4.000   0.30029  0.30000E-11  0.4231E+00 -0.2922E-03
     38.000      0.000     0.000   4.000   0.30030  0.30000E-11  0.5502E+00 -0.3021E-03
     42.000      0.000     0.000   4.000   0.30032  0.30000E-11  0.8623E+00 -0.3161E-03
     46.000      0.000     0.000   4.000   0.30033  0.30000E-11  0.1571E+01 -0.3293E-03
     50.000      0.000     0.000   4.000   0.30033  0.30000E-11  0.2200E+01 -0.3325E-03
     54.000      0.000     0.000   4.000   0.30033  0.30000E-11  0.2196E+01 -0.3287E-03
     58.000      0.000     0.000   4.000   0.30032  0.30000E-11  0.1899E+01 -0.3211E-03
     62.000      0.000     0.000   4.000   0.30031  0.30000E-11  0.1623E+01 -0.3119E-03
     66.000      0.000     0.000   4.000   0.30031  0.30000E-11  0.1470E+01 -0.3051E-03
